hs6,hs_section,tariff_coef,std_err,t_stat,sig_1pct,dist_coef,epsilon_pt,epsilon_zeroed,flag_zero,flag_positive,flag_missing,nobs,status
480442,10,1.1865866221610573,4.156552483936226,0.2854737493985323,FALSE,-1.5749526011767285,2.186586622161057,1,TRUE,FALSE,FALSE,19016,ok
480449,10,-5.3230991269023695,2.907629148630844,1.8307352330020943,FALSE,-1.8888237216587533,-4.3230991269023695,1,TRUE,FALSE,FALSE,30739,ok
480451,10,-11.348169461038706,3.4573616363674202,3.282320640591708,TRUE,-1.3028893579158642,-10.348169461038706,-10.348169461038706,FALSE,FALSE,FALSE,32294,ok
480452,10,21.289769779995883,6.2157564644528795,3.4251293308786095,TRUE,-1.282468436826269,22.289769779995883,22.289769779995883,FALSE,TRUE,FALSE,15182,ok
480459,10,-12.034937022999754,3.383208844703481,3.557255131275985,TRUE,-1.7757141520457147,-11.034937022999754,-11.034937022999754,FALSE,FALSE,FALSE,53023,ok
480511,10,-8.300770086632117,1.8163857085537451,4.569938007958349,TRUE,-1.7796270931118527,-7.300770086632117,-7.300770086632117,FALSE,FALSE,FALSE,53355,ok
480512,10,-15.187521667844791,1.0736803558970363,14.1452915520243,TRUE,-1.8345324724692498,-14.187521667844791,-14.187521667844791,FALSE,FALSE,FALSE,93729,ok
480519,10,-15.498864951043716,1.0662683648068065,14.535613605916089,TRUE,-1.8293958673705553,-14.498864951043716,-14.498864951043716,FALSE,FALSE,FALSE,93729,ok
480524,10,-14.90912595511126,1.2512973292039322,11.914934689900086,TRUE,-1.857304964219807,-13.90912595511126,-13.90912595511126,FALSE,FALSE,FALSE,83221,ok
480525,10,-17.39239678191953,1.1049795703278031,15.740016602080619,TRUE,-1.828152606191229,-16.39239678191953,-16.39239678191953,FALSE,FALSE,FALSE,86112,ok
480530,10,-8.958559367395356,2.6642982698423125,3.3624461152863234,TRUE,-1.3663664545425054,-7.958559367395356,-7.958559367395356,FALSE,FALSE,FALSE,56859,ok
480540,10,-19.178589424051076,2.943266394219857,6.516090239644977,TRUE,-0.9904229678391292,-18.178589424051076,-18.178589424051076,FALSE,FALSE,FALSE,55321,ok
480550,10,-20.01438463052598,4.988305011972169,4.012261596372016,TRUE,-2.0151976568450167,-19.01438463052598,-19.01438463052598,FALSE,FALSE,FALSE,31337,ok
480591,10,-14.934993067245925,1.245842284931585,11.98786816588592,TRUE,-1.8578394038299515,-13.934993067245925,-13.934993067245925,FALSE,FALSE,FALSE,83221,ok
480592,10,-18.313924333729545,1.241700015506729,14.749073129596251,TRUE,-2.007833219524104,-17.313924333729545,-17.313924333729545,FALSE,FALSE,FALSE,76190,ok
480593,10,-19.137765638649565,1.1757374743279252,16.27724390565087,TRUE,-1.7473227414737091,-18.137765638649565,-18.137765638649565,FALSE,FALSE,FALSE,82847,ok
480610,10,-11.69395735949622,3.0187610209695057,3.8737605521819636,TRUE,-0.9913633689774073,-10.69395735949622,-10.69395735949622,FALSE,FALSE,FALSE,35375,ok
