hs6,tariff_coef,std_err,dist_coef,nobs,n_pos,tariff_id,status
610722,0.8014290153672721,1.9929017689957833,-2.4394704191620744,41826,3627,0.15805684161788094,ok
610729,-2.674200455784479,1.9520558321113803,-1.4649798019604279,39377,2648,0.11875872944190209,ok
610791,-11.01553343063959,1.8813923995036057,-1.1884083705212312,59933,5549,0.1492913726992604,ok
610799,-2.7316551589155194,1.7250583493216538,-1.0332730658448244,60269,5312,0.1393776627689937,ok
610811,-2.30180008945771,0.8266406063454084,-1.3531025452782615,56882,5820,0.12424844901880154,ok
610819,-1.9325280850096416,1.0131348902219701,-1.0060916857147557,53432,4336,0.11753287727654568,ok
610821,-1.763852367753929,1.0889528292767572,-1.3540730249581596,88122,12739,0.15578010937525982,ok
610822,-6.353282725885773,1.1516093458184455,-1.065861246519603,86012,13901,0.16322610769367626,ok
610829,-6.569345289794235,1.7491127937594455,-0.6831696269074631,70758,7021,0.1316895510835897,ok
610831,-2.9582658130350676,1.1044763989510533,-1.426078586512124,74471,10974,0.16432943887837695,ok
610832,-1.8121015625457089,0.949199641201839,-1.507425265150539,62183,8354,0.1716582172851839,ok
610839,4.62797091086567,2.4205959470009772,-1.554709114460082,53534,4515,0.13004498208893409,ok
610891,-5.1843796871251735,1.1411237090851278,-1.218624882426268,71115,8211,0.13908128455509242,ok
610892,-3.3782192208828534,1.190397465890989,-1.0612463492684192,67619,8471,0.20002279375409923,ok
610899,-2.7768094683349225,1.5579671682327982,-0.8262944189052142,60002,5589,0.1505262084493293,ok
610910,-8.379894447911783,0.6133799006868238,-1.2080321864623162,145893,32953,0.16450722090688497,ok
610990,-7.9666851560410565,0.6047617198039467,-1.1563255645899007,135253,27640,0.16808107908158768,ok
611011,-4.113075837709461,0.8144440670775226,-0.6112180525512618,107301,18215,0.17945749258725535,ok
611012,-4.462727851241465,0.7890900317532901,-0.6017923823167708,107301,18215,0.1795512099357741,ok
611019,-4.322585552836887,0.791877516515663,-0.6047053242437321,107301,18215,0.18133020801819683,ok
611020,-5.7526882854337975,0.7586374641295159,-1.1354808562202903,123358,24471,0.17751729937863617,ok
611030,-6.848321439332337,0.7730584081232559,-1.0039875274697592,119046,23091,0.17703084011264394,ok
611090,-4.722151096428883,1.3622930976517054,-0.8660991152953947,99592,15587,0.16588651097880888,ok
611120,-4.038612107534973,0.8397143689060114,-1.2521796328714165,101216,16425,0.1602591223165449,ok
611130,-0.16826320837958442,1.0009391289098892,-1.4984109552192153,74018,9608,0.16906550713390886,ok
611190,-1.825626296185304,1.1510778171982727,-0.8043684267427844,87718,9495,0.13231999942602027,ok
611211,-3.0449187950979213,0.6286242836680295,-1.1363775647147287,72229,8599,0.13677768252571124,ok
611212,-3.514998466345137,1.0482514870831625,-0.9905703288165917,80020,9460,0.16081129926151383,ok
611219,-1.4333848794649604,0.7884334719144902,-0.6548427215736082,67391,5425,0.1318750282920452,ok
611220,-0.6937212953034458,1.2534946747402194,-0.8907800881447567,35835,3321,0.1840213652604876,ok
611231,-6.909319493673569,0.9802901422758238,-0.8648702381247025,57571,7777,0.13620319707740636,ok
611239,-2.2525259271076257,1.5899193198958335,-0.8983517436584382,44537,3669,0.14779570499495256,ok
611241,-3.8024937481993586,0.6933852893945355,-1.2402963805549643,75633,12995,0.15819270567628985,ok
611249,-2.249339683709354,1.126922808874752,-0.8527313650007192,59499,6355,0.15034997765279615,ok
611300,0.03679064271874222,1.431648740295117,-0.5309315369364221,79675,9981,0.1593735595301948,ok
611420,-3.3311704182463,0.8184978032365844,-1.0853097576594444,102385,15010,0.17223685323623128,ok
611430,-5.663072021050014,0.8704109317049947,-1.0452038755765534,102445,16429,0.193011820583443,ok
611490,-4.363322664478284,1.5895948182857882,-0.4514980255786395,112682,13346,0.16782502659084467,ok
611510,-10.182646264760315,0.827872238473678,-1.0710628437600436,115284,21091,0.12721723186420567,ok
611521,-14.176001517659754,1.0146955125336548,-1.519642360210716,64896,8153,0.13211238275553436,ok
611522,-8.463530717774752,1.121738703733557,-1.248141314527671,50518,6046,0.13830260991629778,ok
611529,-9.066241394742981,0.9187021786194219,-0.6479539119426687,74292,9203,0.16647261891381462,ok
611530,-8.633981446199513,1.1187443664349885,-1.0858430458133248,63910,7090,0.14007233288899607,ok
